Campus_Name,Latitude,Longitude,Size
Timboon & District Healthcare Service,-38.4865,142.9766,789
Corryong Health,-36.1988504,147.9030344,577
Beaufort & Skipton Health Service [Beaufort],-37.4308,143.3822,817
East Wimmera Health Service [St Arnaud],-36.6094,143.2465,848
Beechworth Health Service,-36.3500036,146.6906459,372
Ballarat Health Services [Queen Elizabeth Campus],-37.5639,143.8419,58
Yea & District Memorial Hospital,-37.2139,145.4313,69
"Great Ocean Road Health, Lorne",-38.5455,143.9808,892
McKellar Centre [Geelong],-38.1193,144.336,871
"Great Ocean Road Health, Apollo Bay",-38.7539,143.6646,71
Kooweerup Regional Health Service,-38.2007659,145.4846378,172
Rochester & Elmore District Health Service,-36.3665,144.6978,235
Edenhope & District Hospital,-37.0352,141.2891,183
Goulburn Valley Health [Tatura],-36.4393,145.2253,184
West Wimmera Health Service [Rainbow],-35.9041,141.9951,724
"NCN Health, Nathalia",-36.0572,145.1977,783
East Wimmera Health Service [Birchip],-35.9802,142.9159,338
Inglewood & Districts Health Service,-36.5723,143.8734,533
Beaufort & Skipton Health Service [Skipton],-37.6842,143.3676,766
East Grampians Health Service [Willaura],-37.5451,142.7459,430
Boort District Health,-36.112,143.7273,735
West Wimmera Health Service [Kaniva],-36.3811721,141.2460676,88
Western District Health Service [Coleraine],-37.5998,141.6925,622
East Wimmera Health Service [Wycheproof],-36.0787,143.234,35
Tallangatta Health Service,-36.2138,147.1839,453
Creswick Health,-37.4206,143.8917,449
Hesse Rural Health Service [Winchelsea],-38.2431,143.9842,795
Maldon Hospital,-36.9927,144.064,123
East Wimmera Health Service [Charlton],-36.26923847,143.3525055,187
West Wimmera Health Service [Jeparit],-36.1409,141.9844,398
Goulburn Valley Health [Waranga],-36.587144,145.016407,913
Rural Northwest Health [Hopetoun],-35.7326,142.3669,797
Heywood Rural Health,-38.1379,141.6246,127
Central Gippsland Health Service [Maffra],-37.9612,146.9834,487
Wimmera Base Hospital [Dimboola],-36.45034237,142.0244925,472
Omeo District Health,-37.0984148,147.5969877,80
Mallee Track Health & Community Service [Ouyen],-35.0745,142.3131,635
Maryborough District Health Service [Dunolly],-36.8554,143.7352,12
Royal Childrens Hospital [Parkville],-37.794,144.9489,618
Royal Womens Hospital,-37.79915699,144.9551722,887
Mercy Hospital for Women,-37.7563,145.0609,713
Peter MacCallum Cancer Centre [Melbourne],-37.79999855,144.9566334,811
Royal Victorian Eye & Ear Hospital The [East Melbourne],-37.8088,144.9761,31
The Mornington Centre,-38.2301,145.0416,602
Bundoora Extended Care Centre,-37.7011,145.0548,76
St Georges Health Service,-37.8092,145.0532,881
Royal Talbot Rehabilitation Centre [Kew],-37.7893,145.0238,548
Golf Links Road Rehabilitation Centre,-38.1728,145.1496,627
Mercy Mental Health Ursula Frayne Centre,-37.79162173,144.8869764,994
